,Country,City,Date,Max Temp,Cloudiness,Humid,Latitude,Longitude,Wind Speed
0,US,Bethel,1651936501,50.85,100,78,41.3712,-73.414,8.99
1,MZ,Inhambane,1651936455,73.33,0,76,-23.865,35.3833,5.86
2,US,Jamestown,1651936391,55.02,0,54,42.097,-79.2353,11.99
3,ZA,Port Alfred,1651936515,63.18,79,95,-33.5906,26.891,5.01
4,MX,Salina Cruz,1651936761,86.43,39,57,16.1667,-95.2,5.44
5,PT,Ponta Delgada,1651936537,68.72,40,77,37.7333,-25.6667,8.05
6,RU,Babstovo,1651936763,38.68,22,70,48.1167,132.4833,6.24
7,US,Albany,1651936313,53.46,100,43,42.6001,-73.9662,1.01
8,JP,Itoman,1651936558,77.02,75,88,26.1247,127.6694,10.36
9,PF,Rikitea,1651936388,77.32,47,82,-23.1203,-134.9692,7.83
10,BR,Manacapuru,1651936764,77.56,100,91,-3.2997,-60.6206,5.91
11,UY,Chui,1651936679,68.61,0,60,-33.6971,-53.4616,2.68
12,CA,Grimshaw,1651936765,37.15,100,87,56.1834,-117.6027,17.27
13,NZ,Mataura,1651936766,51.33,99,89,-46.1927,168.8643,3.22
14,AR,Ushuaia,1651936393,55.06,40,47,-54.8,-68.3,5.75
15,PE,Saposoa,1651936770,79.61,31,80,-6.934,-76.7716,1.83
16,RU,Severo-Kuril'sk,1651936441,38.17,76,90,50.6789,156.125,3.58
17,PT,Ribeira Grande,1651936412,64.8,20,72,38.5167,-28.7,6.91
18,PT,Ponta do Sol,1651936389,72.12,83,62,32.6667,-17.1,5.82
19,BR,Laje,1651936772,86.4,34,33,-10.1833,-40.9667,15.35
20,CL,Lebu,1651936485,57.67,10,67,-37.6167,-73.65,6.11
21,CL,Coyhaique,1651936388,57.81,75,77,-45.5752,-72.0662,10.36
22,AU,Busselton,1651936394,59.43,52,69,-33.65,115.3333,4.99
23,CL,Punta Arenas,1651936367,51.91,75,66,-53.15,-70.9167,23.02
24,PT,Lagoa,1651936446,60.1,85,66,39.05,-27.9833,3.44
25,US,Barrow,1651936433,21.22,100,93,71.2906,-156.7887,14.97
26,ZA,Cape Town,1651936439,64.11,5,58,-33.9258,18.4232,11.99
27,PG,Kavieng,1651936601,82.2,45,80,-2.5744,150.7967,15.14
28,BR,Vila Velha,1651936338,84.15,0,51,-20.3297,-40.2925,16.11
29,BR,Arraial do Cabo,1651936431,78.66,40,69,-22.9661,-42.0278,13.8
